Value,Qty,Digikey Part #,Part #
B340,1,B340LB-FDICT-ND,B340LB-13-F
SMF6.0A,1,F5749CT-ND,SMF6.0A
500mA,1,749-MFU0805FF00500P500CT-ND,MFU0805FF00500P500
B1HSW6,1,ED2982-ND,USB-B1HSW6
10k,16,RMCF0805FT10K0CT-ND,RMCF0805FT10K0
SW_Push,1,EG5455-ND,TL1105YF160Q
SC0915,1,2648-SC0915CT-ND,SC0915
LTST-C170KRKT,3,160-1415-1-ND,LTST-C170KRKT
2N7002,16,2N7002NCT-ND,2N7002
BSS84,9,BSS84CT-ND,BSS84
1k,19,RMCF0805FT1K00CT-ND,RMCF0805FT1K00
649,11,RMCF0805FT649RCT-ND,RMCF0805FT649R
CC56-12SURKWA,1,754-CC56-12SURKWA-ND,CC56-12SURKWA
0.1uF,8,1276-1003-1-ND,CL21B104KBCNNNC
DDZ9684-7,1,DDZ9684-7DICT-ND,DDZ9684-7
Red  Banana Plug,1,36-575-8-ND,575-8
Black Banana Plug,1,36-575-8-ND,575-8
0,1,541-0.0ACT-ND,CRCW08050000Z0EA
5.11M+/-1%,1,541-5.11MCCT-ND,CRCW08055M11FKEA
100k+/-0.1%,4,P10KDACT-ND,ERA-6AEB103V
10k+/-0.1%,7,P10KDACT-ND,ERA-6AEB103V
GF-161-0005,1,CWI359-ND,GF-161-0005
OPA4388IDR,1,296-53511-1-ND,OPA4388IDR
MCP3561,1,150-MCP3561RT-E/STCT-ND,MCP3561RT-E/ST
10nF,1,399-C0805C103K5RACTUCT-ND,C0805C103K5RACTU
BAT46W-7-F,1,BAT46W-7FDICT-ND,BAT46W-7-F
1.62k,1,RMCF0805FT1K62CT-ND,RMCF0805FT1K62
500k+/-0.1%,1,738-RNCF0805BTE500KCT-ND,RNCF0805BTE500K
5k+/-0.1%,1,PNM0805-5.0KBCT-ND,PNM0805E5001BST5
499+/-0.1%,1,RG20P499KBCT-ND,RG2012P-4993-B-T5
50k+/-0.1%,2,749-MCU08050D5002BP100CT-ND,MCU08050D5002BP100
LM4030-2.5,1,LM4030CMF-2.5/NOPBCT-ND,LM4030CMF-2.5/NOPB
TS3A4751PWR,1,296-20700-1-ND,TS3A4751PWR
1nF,1,399-C0805C102J5GACTUCT-ND,C0805C102J5GACTU
1k+/-0.1%,3,541-1.00KCCT-ND,CRCW08051K00FKEA
LMV761MF,1,LMV761MFCT-ND,LMV761MF
INA326,1,INA326EA/2K5CT-ND,INA326EA/2K5
