Item,Qty,Reference(s),Value,Digikey Part #,Part #,Unit Price,Price
1,4,"C1, C4, C5, C6",0.1uF,1276-1003-1-ND,CL21B104KBCNNNC,0.1,0.4
2,4,"D1, D2, D3, D4",LTST-C170KRKT,160-1415-1-ND,LTST-C170KRKT,0.32,1.28
3,1,D5,B140-13-F,B140-FDICT-ND,B140-13-F,0.39,0.39
4,1,D6,SMF6.0A,F5749CT-ND,SMF6.0A,0.45,0.45
5,1,F1,2A,2315-FCC20202AATPCT-ND,FCC20202AATP,0.1,0.1
6,1,J1,USB_B_Micro,WM17144CT-ND,475900001,0.86,0.86
7,1,J3,Red  Banana Plug,36-575-8-ND,575-8,0.88,0.88
8,1,J4,Black Banana Plug,36-575-8-ND,575-8,0.88,0.88
9,8,"Q1, Q2, Q3, Q4, Q12, Q14, Q15, Q16",2N7002,2N7002NCT-ND,2N7002,0.45,3.6
10,8,"Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q13",BSS84,4786-BSS84CT-ND,BSS84,0.15,1.2
11,3,"R1, R2, R42",10k,RMCF0805FT10K0CT-ND,RMCF0805FT10K0,0.1,0.3
12,1,R3,10k,RMCF0805FT10K0CT-ND,RMCF0805FT10K0,0.1,0.1
13,16,"R8, R9, R10, R11, R12, R21, R22, R23, R24, R25, R26, R27, R32, R33, R34, R35",1k,RMCF0805FT1K00CT-ND,RMCF0805FT1K00,0.1,1.6
14,12,"R13, R14, R15, R16, R17, R18, R19, R20, R28, R29, R30, R31",649,RMCF0805FT649RCT-ND,RMCF0805FT649R,0.1,1.2
15,1,R36,1.62k,RMCF0805FT1K62CT-ND,RMCF0805FT1K62,0.1,0.1
16,1,R37,511k+/-0.1%,P511KDACT-ND,ERA-6AEB5113V,,0
17,1,R38,1.5M+/-0.1%,408-2025-1-ND,RG2012P-155-B-T5,0.1,0.1
18,3,"R39, R40, R41",10k+/-0.1%,P10KDACT-ND,ERA-6AEB103V,0.32,0.96
19,1,SW1,GF-123-0054,CWI333-ND,GF-123-0054,1.5,1.5
20,1,SW3,GF-126-0159,SW342-ND,GF-126-0159,1.58,1.58
21,5,"TP1, TP2, TP3, TP4, TP5",4952,36-4952-ND,4952,0.26,1.3
22,1,U1,SC0915,2648-SC0915CT-ND,SC0915,4,4
23,1,U2,4021,296-38905-1-ND,CD4021BM96,0.54,0.54
24,1,U3,OPA4388IDR,296-53511-1-ND,OPA4388IDR,4.92,4.92
25,1,U4,CC56-12SURKWA,754-CC56-12SURKWA-ND,CC56-12SURKWA,6.38,6.38
26,1,U7,LM4030-2.5,LM4030CMF-2.5/NOPBCT-ND,LM4030CMF-2.5/NOPB,1.61,1.61
27,1,U10,MCP3561,150-MCP3561RT-E/STCT-ND,MCP3561RT-E/ST,3,3
total:,,,,,,,39.23
